1,A,Hefh4Yv3cUGstf7wvEFPuKY7zAEhPxAvgZaoQnytW8md,AIXBC,
1,C,65svCEvM4HdBHXKDxfhjm3yw1A6mKXkdS6HXWXDQTSNA,BUDDY,
1,B,5fG1KadrP3yD66gx4GgkFpvLE2UvzxwGKJLWsd1cyoNv,BUMP,
1,C,445ksMigJLms4mw29DQkXs8aWBG4S8Z2kTBCtGhd5nGd,GLMPS,
1,B,9VY2rDbtsBmTsBxoRF8hWSEUKGqnoQoe9V6W3JnjNgfm,JTVO,
1,B,Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,Launchcoin,
1,A,J27UYHX5oeaG1YbUGQc8BmJySXDjNWChdGB2Pi2TMDAq,PCULE,
1,B,fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,DUPE,
1,B,1zJX5gRnjLgmTpq5sVwkq69mNDQkCemqoasyjaPW6jm,KLED,
1,B,Cy1GS2FqefgaMbi45UunrUzin1rfEmTUYnomddzBpump,MOBY,
1,B,GEKjZKJZgQTCbi9evTW2GmhyamH3sq6Lid9dQMWqEcCY,WONDER,
1,B,3HfLqhtF5hR5dyBXh6BMtRaTm9qzStvEGuMa8Gx6pump,BUIDL,
1,B,2enpSQzqEaouvWJNpPSbVxmWFqA15j2n18vYeFpFKxfp,SLSH,
1,B,FkqvTmDNgxgcdS7fPbZoQhPVuaYJPwSsP8mm4p7oNgf6,DTR,
1,B,4CoTCzobYt38zVbSieZxcmz2CCs8kmZJ6wnbj8HWocto,OCTO,
1,B,Cr2mM4szbt8286XMn7iTpY5A8S17LbGAu1UyodkyEwn4,FITCOIN,
1,B,28PgAVUab53W26qgu3TfffsxHF2rAFf1zvJJzE3Kdaos,TCM,
